Park,Park_Code,Site_Name,Station_Name,Event_Date,Marker_Horizon,Observation_Number,Depth_mm,Data_Processing_Level,Observation_Type,Core_Condition,Core_Type,Core_Notes
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,C,2,30,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,B,2,32,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,A,2,28,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,12/1/2015,A,3,28,Provisional,Standard observation,Unknown,Plug,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,B,1,35,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,C,1,23,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,A,1,35,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,A,2,36,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,C,2,27,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,B,2,54,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,B,3,34,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,C,3,32,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,A,3,37,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,3/30/2016,C,4,33,Provisional,Standard observation,Unknown,Unknown,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,B,1,32,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,A,1,20,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,C,1,35,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,C,2,32,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,A,2,19,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,B,2,30,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,B,3,29,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,A,3,18,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/5/2017,C,3,30,Raw,Standard observation,Unknown,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,A,1,41,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,C,1,30,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,C,2,30,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,A,2,42,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,A,3,40,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,C,3,32,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,9/5/2017,B,1,34,Raw,Standard observation,Poor,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,A,1,30,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,C,1,32,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,B,1,30,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,B,2,30,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,C,2,34,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,A,2,32,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,A,3,34,Raw,Standard observation,Good,Cryogenic,
Assateague Island National Seashore,ASIS,Marsh 11,M11-2,4/3/2018,C,3,33,Raw,Standard observation,Good,Cryogenic,
